Indicadores,Total,Homens,Mulheres,Razao,Ano
Nordeste,2564.368542341721,2679.275465044076,2392.851804115366,89.30965984402809,2021
Sudeste,3920.841005944407,4374.070982186714,3341.1124543340047,76.38450468546567,2021
Sul,3176.1215009613447,3611.553520862873,2587.3683970084785,71.64142472379321,2021
Centro-Oeste,3769.483778385743,4140.251328471965,3289.7251973511884,79.45713765558577,2021
Brasil,2023.8260148706015,2192.643491848077,1764.385056371873,80.46839638689987,2021
Norte,1826.109249665323,1887.5266124337163,1716.0226974451982,90.91382797684709,2021
Nordeste,1655.082797369082,1755.9486705801312,1489.9329497462525,84.8505981244889,2021
Sudeste,2198.854731644299,2447.4143764459814,1845.8956461524156,75.4222768288604,2021
Sul,2192.20608106554,2386.3608383609076,1898.334308177478,79.54934047113198,2021
Centro-Oeste,2549.498363581514,2811.230632323959,2163.2308100879777,76.94960296799628,2021
Brasil,2895.511728228607,3179.116382138298,2492.2575449458823,78.3946620812155,2020
Norte,2112.8609145118457,2164.3044066588604,2027.099948698029,93.66057484618624,2020
Nordeste,2087.940505771482,2215.4325230253394,1897.1361652305848,85.63276676284876,2020
Sudeste,3291.58129206377,3687.2787268990323,2751.8755576997264,74.63161213239849,2020
Sul,3118.267824310052,3500.057418423995,2595.1242508041373,74.14519079440329,2020
Centro-Oeste,3137.8632644475197,3413.679526894386,2737.817638340326,80.20136678826061,2020
Brasil,3747.361931000955,4215.450604615362,3136.984793000572,74.41635751978657,2020
Norte,2974.771382066665,3175.4275220726986,2702.9502249831435,85.12082880792207,2020
Nordeste,2998.293387389039,3202.9280752181976,2724.099341558576,85.05028141704362,2020
Sudeste,4143.152822513561,4705.459135688752,3418.780265496645,72.65561482761082,2020
Sul,3357.1554271174205,3811.8498564008423,2753.7671178212745,72.24227662580047,2020
Centro-Oeste,4000.953197961069,4462.167907439142,3424.9475556113457,76.75523706540524,2020
Brasil,2138.91081628003,2320.5974131024736,1860.218692826211,80.16119824675798,2020
Norte,1922.068369366293,1960.4318538899045,1854.6978332194124,94.60659545698088,2020
Nordeste,1788.7699258919881,1909.870890545615,1600.3158476673293,83.79183407576564,2020
Sudeste,2315.2732325429674,2579.840048174135,1931.2840887787245,74.86061355414566,2020
Sul,2324.3648159098857,2531.2642570130347,2010.6338384123649,79.43200054446197,2020
Centro-Oeste,2615.3401646669276,2842.441799155852,2255.037402926363,79.33451455702853,2020
Brasil,2799.589542192013,3094.0203215758274,2398.52859178815,77.52142334238277,2019
Norte,2022.2174898518247,2083.369769546168,1921.213539951428,92.21663710566064,2019
Nordeste,1940.4694467077995,2058.433233138724,1769.2214185070113,85.94990549240603,2019
Sudeste,3201.2719306285,3613.691251888368,2667.6971112612755,73.82194341775174,2019
Sul,3110.295232348372,3520.158447072023,2567.1932108093692,72.928342556418,2019
Centro-Oeste,3039.8278002010607,3379.2562866872768,2581.151040237099,76.38222204115304,2019
Brasil,3638.2324765484927,4102.7971966409195,3054.0345490822688,74.43786282155736,2019
Norte,2770.192121289318,2950.683129654326,2516.6769602870518,85.29133253904773,2019
Nordeste,2676.505297248466,2882.7572748419043,2411.749639337101,83.66121075765443,2019
Sudeste,4050.326810342311,4602.475277006646,3369.9406231185694,73.22017871457874,2019
Sul,3371.295854142153,3849.6365213018676,2758.783807570335,71.6634880281469,2019
Centro-Oeste,3810.639674228869,4279.139630613236,3228.1322396817213,75.43881523723739,2019
Brasil,2082.597972854894,2289.072900671314,1782.24788378484,77.85893945370469,2019
Norte,1831.4985847065739,1882.5246487156048,1743.5039397542641,92.6151984752927,2019
Nordeste,1693.1219069478398,1801.4945685211244,1529.1144141868099,84.88032331077657,2019
Sudeste,2272.1068880549524,2585.203460786345,1847.1281996932632,71.45001264741536,2019
Sul,2345.52887111508,2608.305977276383,1959.6151630882243,75.12980379451004,2019
Centro-Oeste,2593.001599116005,2886.8665245565644,2176.254898371238,75.3846733078704,2019
Brasil,2807.766305674768,3087.054533982256,2428.0074680632147,78.65126583724842,2018
Norte,2163.5146826479795,2287.806019746871,1960.8392071217347,85.7082807806707,2018
Nordeste,1901.3619493144072,2006.3569846150965,1750.7122367293975,87.25826212154651,2018
Sudeste,3220.656258737958,3598.838818160744,2733.4710468006115,75.95425038228316,2018
Sul,3059.393300963536,3433.5294959315706,2558.1436780488852,74.50478235530115,2018
Centro-Oeste,3122.110116710273,3481.170461473693,2625.4602180737756,75.41889278706371,2018
Brasil,3637.369028889114,4074.0526095328887,3084.7021373472967,75.71581501253549,2018
Norte,3147.009451473532,3414.43580820957,2761.5080785037594,80.87743432938672,2018
Nordeste,2557.8985289451507,2788.797720866844,2262.1496989396455,81.11558905880416,2018
Sudeste,4069.254214686214,4579.328531915266,3439.725786350242,75.11419550655401,2018
Sul,3327.083692074284,3756.902589540295,2769.8466886483907,73.72687001148243,2018
Centro-Oeste,3838.7999209166305,4300.717302557395,3248.3850381579537,75.53123838728767,2018
Brasil,2090.9262617531813,2283.7914968657483,1812.2602717680754,79.3531403481974,2018
Norte,1893.938030822247,1983.2151259288373,1743.5961264842886,87.91764966333022,2018
Nordeste,1677.9473481487519,1758.4160457987382,1557.8266262650754,88.59260753375646,2018
Sudeste,2284.8490853231006,2565.8582801400016,1906.071883720269,74.28593771033478,2018
Sul,2249.742270281902,2506.361679391142,1871.9527121435026,74.68805190950121,2018
Centro-Oeste,2704.556477641589,3030.928001868416,2230.5663564148263,73.59351179044153,2018
Brasil,2749.07684650586,3045.5387780052374,2339.124597988347,76.80495204597013,2017
Norte,2051.5780527622337,2157.2813772242594,1877.4586737266432,87.02891952566429,2017
Nordeste,1934.4142391404616,2078.9611102413405,1719.0289021605922,82.68691962020564,2017
Sudeste,3110.387758611143,3524.3902797278015,2568.9280212930985,72.8899984791555,2017
Sul,3033.0320772818136,3399.395461387266,2538.430377055661,74.67299423938597,2017
Centro-Oeste,3107.6229022122707,3431.17648794831,2664.4048785150503,77.6528076557276,2017
Brasil,3540.335898968018,3995.44769200915,2952.0420170094208,73.88513740058394,2017
Norte,2930.5661417584993,3186.1482723119407,2561.1748685627986,80.38467295510866,2017
Nordeste,2741.6245281825045,2972.6956375935324,2418.923410447869,81.37137821502792,2017
Sudeste,3872.9239787063416,4443.928184946054,3157.3268287398764,71.04810648010515,2017
Sul,3284.817313544777,3700.9312474400863,2736.2082040982827,73.93296500687234,2017
Centro-Oeste,3855.42415510969,4257.275504607776,3358.61842445378,78.89126322265606,2017
Brasil,2037.8333576080108,2241.7733555639124,1738.2626011905247,77.53962267756854,2017
Norte,1823.099634578299,1913.4814524736635,1668.6999023687913,87.2075295118001,2017
Nordeste,1657.745714799087,1784.2250403196517,1464.5876680702263,82.08536675439994,2017
Sudeste,2232.49222483599,2520.3660943909927,1837.339327010677,72.89970021020464,2017
Sul,2170.872231651468,2392.453722587037,1847.2792434912158,77.21274714955378,2017
Centro-Oeste,2617.866451403526,2922.8342840770665,2173.552026402614,74.364531654895,2017
Brasil,2759.4734825936057,3048.564170479722,2356.8775869411816,77.31107023311579,2016
Norte,1992.47703797439,2091.7380418595753,1825.5643258490345,87.27499760085111,2016
Nordeste,1882.5391669012834,1990.3362467185198,1719.3656173504921,86.38568584505364,2016
Sudeste,3210.286112741135,3632.2619414004394,2656.7976393612585,73.14443953171822,2016
Sul,2986.1230137970365,3364.3599884171,2478.7282792307687,73.67607175702346,2016
Centro-Oeste,3024.1554919224736,3357.3577838986857,2559.783652082217,76.24399354630901,2016
Brasil,3585.151016079979,4047.6051186178115,2993.983644589948,73.9692622390087,2016
Norte,2718.471036770307,2881.6007479038853,2480.528150208256,86.0816041921361,2016
Nordeste,2577.4041759487623,2729.0381995278544,2377.0087397108623,87.10060343318405,2016
Sudeste,4027.792462044522,4616.48230885195,3298.7513303891287,71.45595086682958,2016
Sul,3222.9265478694597,3646.3596251681047,2668.2807703575627,73.1765663468959,2016
Centro-Oeste,3953.1858636989878,4475.318955139506,3270.5243328954657,73.07913392719327,2016
Brasil,1993.9937284325247,2181.5294488038894,1711.9496587906542,78.4747443922565,2016
Norte,1810.6551558864496,1906.2705828294577,1643.0149929585784,86.19001980924808,2016
Nordeste,1645.8612873605935,1755.252647352715,1472.4436411551994,83.88784619558614,2016
Sudeste,2192.6344877652045,2465.0329553572706,1811.2319488719222,73.47698719141103,2016
Sul,2142.611329182207,2407.144824271929,1757.1054465750917,72.99541884051577,2016
Centro-Oeste,2469.617255847523,2720.111023283275,2106.109364914055,77.42733097606813,2016
